iter	Logloss
0	0.5575104786
1	0.535936591822	0.519287696833	0.504462871
4	0.501875857755	0.492551310766	0.4769747207	7	0.47559678388	0.465502759599	0.4566048906110	0.4529117161111	0.4504230033112	0.4415794467113	0.4326083714114	0.4265111715115	0.41578643
16	0.4141428074
17	0.4106373816
18	0.4055387671
19	0.4027927773
20	0.4025515192
21	0.3965984986
22	0.3949237761
23	0.38615114
24	0.3848048023
25	0.3793980954
26	0.3783699434
27	0.3777760942
28	0.3711568386
29	0.3662925822
30	0.3630668978
31	0.3597528179
32	0.3579166768
33	0.3561679172
34	0.3530505867
35	0.3483782301
36	0.345706954
37	0.3456615488
38	0.3452985455
39	0.3426287719
40	0.3421402809
41	0.3399018487
42	0.3380098863
43	0.3365440456
44	0.336543141
45	0.3336881815
46	0.3287282759
47	0.3277787852
48	0.3263109109
49	0.3254638544
50	0.325382633
51	0.3231634449
52	0.3223804548
53	0.3207798528
54	0.3201857599
55	0.3201613265
56	0.3200709873
57	0.3180127179
58	0.3171536824
59	0.3155279077
60	0.3152971265
61	0.3140995726
62	0.3119974137
63	0.3092566403
64	0.3079224152
65	0.3067829613
66	0.3057252973
67	0.3032922934
68	0.3032888177
69	0.302019824
70	0.3004165634
71	0.2964284132
72	0.29602882
73	0.2951871279
74	0.2951041996
75	0.2914475617
76	0.2902216565
77	0.290133184
78	0.2892035895
79	0.28636984
80	0.2825874676
81	0.2805789661
82	0.2801366876
83	0.2776568987
84	0.2766037598
85	0.2763267391
86	0.2747321084
87	0.2743558433
88	0.2741110236
89	0.2737879705
90	0.2717004663
91	0.2712788203
92	0.2696073236
93	0.2684067798
94	0.2683860128
95	0.2682883783
96	0.2678909942
97	0.2650794393
98	0.2643080689
99	0.2631550048
100	0.261351512
101	0.2613262551
102	0.2603188667
103	0.2587144327
104	0.2577184501
105	0.2555045522
106	0.2548664722
107	0.2545711462
108	0.2545688878
109	0.2545336303
110	0.253580788
111	0.2535476102
112	0.2512628362
113	0.250664095
114	0.2500397978
115	0.2491320003
116	0.2473213983
117	0.2470876783
118	0.2470283893
119	0.246318829
120	0.2452157403
121	0.2441699598
122	0.2440778267
123	0.2424994726
124	0.2417224851
125	0.2411562208
126	0.2405008885
127	0.2401859083
128	0.2391366552
129	0.2379938472
130	0.2379926306
131	0.2373978495
132	0.2372876565
133	0.2371673703
134	0.2349884224
135	0.2337981797
136	0.2326499239
137	0.2306395891
138	0.2299889845
139	0.2282341848
140	0.2281737355
141	0.2281730304
142	0.2281046093
143	0.2281000373
144	0.2279368992
145	0.2277795679
146	0.2273798313
147	0.2269083314
148	0.226443997
149	0.2257896103
150	0.2256232262
151	0.2254780732
152	0.2254767967
153	0.22546938971154	0.22546211311155	0.22539439571156	0.225221
157	0.2250475033
158	0.224616827
159	0.221646775
160	0.2212038777
161	0.2209183084
162	0.2202788554
163	0.2196551756
164	0.2184575334
165	0.217362042
166	0.21734058
167	0.2169977307
168	0.2167671541
169	0.2162580365
170	0.2160694978
171	0.2160101163
172	0.2159786971
173	0.215976983
174	0.2141718019
175	0.2140798652
176	0.2139993662
177	0.2139666729
178	0.2135084736
179	0.209043665
180	0.2086691799
181	0.2085887726
182	0.2081218884
183	0.2063220753
184	0.2058341958
185	0.2058179897
186	0.2051993896
187	0.2049316218
188	0.2049255442
189	0.2048692287
190	0.2048071422
191	0.2048067818
192	0.2030236083
193	0.2014974559
194	0.2009474569
195	0.2009124946
196	0.1992973609
197	0.1985649426
198	0.1980704785
199	0.1963828875
200	0.1959692112
201	0.1959657786
202	0.1959468204
203	0.1949605203
204	0.1949361818
205	0.1934948128
206	0.1932765168
207	0.1932213559
208	0.1931714347
209	0.1930123074
210	0.1927533957
211	0.1916968765
212	0.1903306732
213	0.189610499
214	0.188980188
215	0.1887173824
216	0.1887173824
217	0.1873789294
218	0.1854865484
219	0.185103798
220	0.184576475
221	0.1840875496
222	0.18239242
223	0.1820614769
224	0.1818281577
225	0.180268994
226	0.1799806853
227	0.1799675548
228	0.1798643698
229	0.1798510459
230	0.1795620224
231	0.1791562987
232	0.1790757972
233	0.1780526988
234	0.1780133626
235	0.1776317683
236	0.17677299
237	0.1761880492
238	0.1761833262
239	0.1758771917
240	0.1755915973
241	0.1750923833
242	0.1748786279
243	0.1743005406
244	0.1740950165
245	0.1737443579
246	0.1724611583
247	0.1715258815
248	0.1714959359
249	0.1711534894
250	0.1702159266
251	0.1700128518
252	0.1691053337
253	0.168338864
254	0.1677530205
255	0.1672685786
256	0.1671340503
257	0.1662959167
258	0.1660556858
259	0.1660031742
260	0.165865545
261	0.1655162115
262	0.1640833495
263	0.1640386009
264	0.1636281643
265	0.1627345469
266	0.1625568991
267	0.1623068618
268	0.1618041885
269	0.1617298451
270	0.1617261655
271	0.1612894336
272	0.1612810869
273	0.161161465
274	0.1610063954
275	0.1609170715
276	0.1596225887
277	0.1588658001
278	0.1585930708
279	0.1580421187
280	0.1572033511
281	0.1559221681
282	0.1557962324
283	0.1557856844
284	0.155742159
285	0.1550014027
286	0.1549660504
287	0.1544786499
288	0.1544181053
289	0.1543385583
290	0.1538687322
291	0.1533151695
292	0.1530000156
293	0.1514704746
294	0.1512697697
295	0.1508201791
296	0.1507651813
297	0.1501550222
298	0.150125073
299	0.1495256321
315161098
495114442
